order_book_id,industry_code,market_tplus,symbol,special_type,exchange,status,type,de_listed_date,listed_date,sector_code_name,abbrev_symbol,sector_code,round_lot,trading_hours,board_type,industry_name,issue_price,trading_code,office_address,province,purchasedate
603677.XSHG,C38,1,奇精机械,Normal,XSHG,Active,CS,0000-00-00,2017-02-06,非必须消费品,QJJX,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,21.13,603677,浙江省宁波市宁海县三省东路1号,浙江省,
603678.XSHG,C39,1,火炬电子,Normal,XSHG,Active,CS,0000-00-00,2015-01-26,信息技术,HJDZ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,10.38,603678,福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,福建省,
603679.XSHG,C38,1,华体科技,Normal,XSHG,Active,CS,0000-00-00,2017-06-21,信息技术,HTKJ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,9.44,603679,四川省双流西南航空港经济开发区双华路三段580号,四川省,
603680.XSHG,C37,1,今创集团,Normal,XSHG,Active,CS,0000-00-00,2018-02-27,工业,JCJT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,铁路、船舶、航空航天和其他运输设备制造业,32.69,603680,常州市武进区遥观镇今创路88号,江苏省,
603681.XSHG,C26,1,永冠新材,Normal,XSHG,Active,CS,0000-00-00,2019-03-26,原材料,YGXC,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,10.0,603681,上海市青浦区朱家角工业园区康工路15号,上海市,
603682.XSHG,L72,1,锦和商管,Normal,XSHG,Active,CS,0000-00-00,2020-04-21,信息技术,JHSG,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,商务服务业,7.91,603682,上海市徐汇区虹漕路68号锦和中心18楼,上海市,
603683.XSHG,C26,1,晶华新材,Normal,XSHG,Active,CS,0000-00-00,2017-10-20,原材料,JHXC,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,9.34,603683,上海市松江区新桥镇千帆路237弄8号楼1702、1703和1704室,上海市,
603685.XSHG,C38,1,晨丰科技,Normal,XSHG,Active,CS,0000-00-00,2017-11-27,信息技术,CFKJ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,21.04,603685,浙江省嘉兴市海宁市盐官镇园区四路10号,浙江省,
603686.XSHG,C35,1,福龙马,Normal,XSHG,Active,CS,0000-00-00,2015-01-26,工业,FLM,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,14.86,603686,福建省龙岩市新罗区东肖镇东华社区龙腾南路42号,福建省,
603687.XSHG,C22,1,大胜达,Normal,XSHG,Active,CS,0000-00-00,2019-07-26,原材料,DSD,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,造纸和纸制品业,7.35,603687,浙江省杭州市萧山区市心北路2036号东方至尊国际中心,浙江省,
603688.XSHG,C30,1,石英股份,Normal,XSHG,Active,CS,0000-00-00,2014-10-31,原材料,SYGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,非金属矿物制品业,6.45,603688,江苏省东海县平明镇马河电站东侧,江苏省,
